youtubeId,title,channelName,thumbnailUrl,description,videoUrl
8xgnm6SynH4,"I Spent 24 Hours With Roblox Millionaires","Starter Story",https://i.ytimg.com/vi/8xgnm6SynH4/hqdefault.jpg,"I flew to Austin, TX, to spend 24 hours with Cole, Ian, and Jake and dive deep into their Roblox $1M businesses.

🛠️ Want to turn your idea into reality using AI? Check out Starter Story Build → https://build.starterstory.com?utm_source=youtube\u0026utm_campaign=roblox

Follow Cole's Journey: https://x.com/1Coal
Follow Ian's Journey: https://x.com/Vamonoz4
Follow Jake's Journey: https://x.com/cheekyvisuals

🔔 Follow the Second Channel: ‪@StarterStoryBuild‬ 
🏁 We're hiring: starterstory.com/jobs

Chapters:
0:00 - Intro
1:30 - Meeting the guys
4:05 - What is Roblox and how does it work?
5:11 - How big is Roblox?
7:08 - Build your own apps
9:15 - Cole's business breakdown
12:32 - What it takes to get to the top with Roblox
13:28 - Ian's business breakdown
14:35 - Jake's business breakdown
18:10 - Day in the life",https://www.youtube.com/watch?v=8xgnm6SynH4
Gv2fzC96Z40,"The Underdog: From His Parent’s Basement to $25M","Starter Story",https://i.ytimg.com/vi/Gv2fzC96Z40/hqdefault.jpg,"This is the story of how David Park went from a broke kid in his parent's basement to building a company now worth over $25M. 

📚 Micro-SaaS Business Ideas - https://www.starterstory.com/micro?utm_campaign=davidpark\u0026utm_source=youtube

Follow David
🐦 Twitter - https://twitter.com/Davidjpark96

🔔 Subscribe - https://www.youtube.com/@starterstory
📸 Instagram - https://www.instagram.com/starter_story/
🐦 X - https://x.com/starter_story
🏁 We're hiring: starterstory.com/jobs",https://www.youtube.com/watch?v=Gv2fzC96Z40
IuoscQiQQLg,"The Underdog: He Turned His Last $4,000 Into $48M","Starter Story",https://i.ytimg.com/vi/IuoscQiQQLg/hqdefault.jpg,"🧑‍💻 Build apps with AI - https://build.starterstory.com/?utm_source=youtube\u0026utm_campaign=hush\u0026yts=true

In this video, I flew out to Toronto to get the full story of Hush Blankets. Aaron and Leor started this business while working their 9-5's, and they made one of the craziest rebounds I've ever seen from an ecommerce business - the best part, Aaron shared exactly how they did it.

Follow Aaron
📸 Instagram - https://www.instagram.com/aaron.spivak/

Our Links
🔔 Subscribe - https://www.youtube.com/@starterstory
📸 Instagram - https://www.instagram.com/starter_story/
🐦 X - https://x.com/starter_story
🏁 We're hiring: starterstory.com/jobs",https://www.youtube.com/watch?v=IuoscQiQQLg
G5cbMnFXcj0,"I Make $2.4M/Year With 6 YouTube Channels","Starter Story",https://i.ytimg.com/vi/G5cbMnFXcj0/hqdefault.jpg,"This is the breakdown of how Charlie Chang runs 6 different YouTube channels AND a SaaS company that collectively bring in over $2.4M a year.

📚 Join Starter Story → https://www.starterstory.com/?utm_source=youtube\u0026utm_campaign=charliechang\u0026yts=true

📩 Get the FREE list of Productized Service Ideas here → https://www.starterstory.com/productized?utm_campaign=charliechang\u0026utm_source=youtube

🛠️ The tools that make Charlie millions → https://www.starterstory.com/tools?business_id=639644\u0026utm_campaign=charliechang\u0026utm_source=youtube

Follow Charlie
📸 Instagram - https://www.instagram.com/charlie__chang
🎥 YouTube - https://www.youtube.com/@CharlieChang

🔔 Subscribe - https://www.youtube.com/@starterstory
📸 Instagram - https://www.instagram.com/starter_story/
🐦 X - https://x.com/starter_story
🏁 We're hiring: starterstory.com/jobs",https://www.youtube.com/watch?v=G5cbMnFXcj0
loXc0Tyi4R4,"How I Built It: $40K/Month iPhone App","Starter Story",https://i.ytimg.com/vi/loXc0Tyi4R4/hqdefault.jpg,"This is how Steven Cravotta built a viral iPhone app to over $40,000/month.

📚 52+ Micro-SaaS Business Ideas → https://www.starterstory.com/micro?utm_campaign=stevencravotta\u0026utm_source=youtube

Follow Steven's Journey
🐦 Twitter - https://x.com/StevenCravotta
🎥 YouTube - https://www.youtube.com/@stevencravotta 
🎥 Steven's Wordle Story - https://www.youtube.com/watch?v=YFWQzrBmLyc

🔔 Subscribe - https://www.youtube.com/@starterstory
📸 Instagram - https://www.instagram.com/starter_story/
🐦 X - https://x.com/starter_story
🏁 We're hiring: starterstory.com/jobs",https://www.youtube.com/watch?v=loXc0Tyi4R4
irEi7DVBHdA,"Meet The Kid Who Made $1M with ChatGPT","Starter Story",https://i.ytimg.com/vi/irEi7DVBHdA/hqdefault.jpg,"📚 The Case Study Collection - https://www.starterstory.com/?utm_source=youtube\u0026utm_campaign=joe\u0026yts=true

📩 Business Ideas Newsletter - https://www.starterstory.com/newsletter

In this video, I head out to Toronto to meet Joe Popelas - one of the only kids who ACTUALLY made $1M with ChatGPT. He shared everything about how he found the idea, how he started it, how he advertises it, and how anyone can take advantage of the goldmine that is AI automation and ChatGPT generated ebooks. This is one of the craziest business ideas I've seen in a minute, hope you guys enjoy this one!

Follow Joe
🎥 YouTube - https://www.youtube.com/@joepopelas
📱 TikTok - https://www.tiktok.com/@joepopelas

Our Links
🔔 Subscribe - https://www.youtube.com/@starterstory
📸 Instagram - https://www.instagram.com/starter_story/
🐦 X - https://x.com/starter_story
🏁 We're hiring: starterstory.com/jobs",https://www.youtube.com/watch?v=irEi7DVBHdA
yBjcmMhXSDk,"How I Grew My Mobile App to $20K/month","Starter Story",https://i.ytimg.com/vi/yBjcmMhXSDk/hqdefault.jpg,"Mau is a solo founder who built and grew his mobile app to $20K/month. This video is the complete playbook for building mobile apps in 2026: how he built it with AI, grew organically, and is scaling with paid ads. 

Build your own iOS app → https://build.starterstory.com/build/the-ios-bootcamp?utm_source=youtube\u0026utm_campaign=mau

Follow Mau: https://x.com/maubaron
Check out his app: https://www.prayerlock.com/

🔔 Follow the Second Channel: @StarterStoryBuild  
🏁 We're hiring: starterstory.com/jobs

This video is an educational case study of this founder’s experience. It is not financial advice and does not guarantee any income or results. Every business is different and your results may vary.",https://www.youtube.com/watch?v=yBjcmMhXSDk
9r0qPeSJGog,"I built a $14K/month SaaS using Discord","Starter Story",https://i.ytimg.com/vi/9r0qPeSJGog/hqdefault.jpg,"Sam Adeniyi used Discord to validate and launch his first saas and now it makes $14K MRR (built entirely with ChatGPT + Cursor). This video breaks down how he used Discord to validate his idea and how knowing a niche community lets you build the perfect product. 

Learn how to find customers like Sam → https://build.starterstory.com/build/playbook-communities?utm_source=youtube\u0026utm_campaign=algrow

Join an upcoming Starter Story Build Bootcamp → https://build.starterstory.com/?utm_source=youtube\u0026utm_campaign=algrowsam

Follow Sam: https://x.com/samgrows
Check out Algrow: https://algrow.online/

🔔 Follow the Second Channel: @StarterStoryBuild  
🏁 We're hiring: starterstory.com/jobs

This video is an educational case study of this founder’s experience. It is not financial advice and does not guarantee any income or results. Every business is different and your results may vary.",https://www.youtube.com/watch?v=9r0qPeSJGog
XifgHi9R5Rc,"How My App Hit $60K/Month in Just 2 Months","Starter Story",https://i.ytimg.com/vi/XifgHi9R5Rc/hqdefault.jpg,"Lara just launched an AI writing tool for LinkedIn. They made $30K in 4 days, and went from $0 to $60K/month in less than 2 months. The secret? The Kleo Launch Playbook. This video breaks down exactly how they built up hype for their app, launched to a private beta, and hit $30K MRR in just a few days.

Grab the personal brand playbook → https://build.starterstory.com/build/playbook-personal-brand?utm_source=youtube\u0026utm_campaign=larakleo

Join an upcoming Starter Story Build Bootcamp → https://build.starterstory.com/?utm_source=youtube\u0026utm_campaign=kleo

Follow Lara: https://x.com/Laraacostar
Check out Kleo: https://kleo.so/ 

🔔 Follow the Second Channel: @StarterStoryBuild  
🏁 We're hiring: starterstory.com/jobs

This video is an educational case study of this founder’s experience. It is not financial advice and does not guarantee any income or results. Every business is different and your results may vary.",https://www.youtube.com/watch?v=XifgHi9R5Rc
Adl5_lJfkEE,"How I Grew My App to $13K/month (Even Though I Hate Marketing)","Starter Story",https://i.ytimg.com/vi/Adl5_lJfkEE/hqdefault.jpg,"Bhanu built SiteGPT and he’s grown it to $13K/month. But here's the thing... he's a builder, NOT a marketer. In this video, we'll dive into how Bhanu used his building skills to get thousands of views on his product (for free). 

Join an upcoming Starter Story Build Bootcamp → https://build.starterstory.com/select-plan?promo=BHANU\u0026utm_source=youtube\u0026utm_campaign=bhanu

Follow Bhanu: https://x.com/pbteja1998
Check out SiteGPT: https://sitegpt.ai/

🔔 Follow the Second Channel: @StarterStoryBuild  
🏁 We're hiring: starterstory.com/jobs

This video is an educational case study of this founder’s experience. It is not financial advice and does not guarantee any income or results. Every business is different and your results may vary.",https://www.youtube.com/watch?v=Adl5_lJfkEE
FCGpgPZqmkY,"How I built my first SaaS without an audience ($25K/month)","Starter Story",https://i.ytimg.com/vi/FCGpgPZqmkY/hqdefault.jpg,"Hassam is a non-technical founder who built his app 100% with AI. Then he hacked distribution by using someone else's audience to share his work. This video breaks down his distribution strategy that helped him his $25K MRR in 90 days. 

Build an app with AI → https://build.starterstory.com/?utm_source=youtube\u0026utm_campaign=hassam

Follow Hassam: https://x.com/hasaamb

🔔 Follow the Second Channel: @StarterStoryBuild  
🏁 We're hiring: starterstory.com/jobs

Chapters:
0:00 - Intro
0:59 - Who is Hassam?
1:21 - App background
2:24 - Hassam's non-technical background
3:19 - Finding the idea
4:31 - Trading equity for distribution
6:32 - Ready to build?
7:23 - Why this project worked
8:23 - Domain knowledge playbook
11:01 - Tech stack
12:21 - Stop waiting and start building
13:22 - Pat and Gus takeaways
14:28 - Build apps with AI fast

This video is an educational case study of this founder’s experience. It is not financial advice and does not guarantee any income or results. Every business is different and your results may vary.",https://www.youtube.com/watch?v=FCGpgPZqmkY
VYT-ip21P08,"How I Used Twitter to Hit $10K/Month","Starter Story",https://i.ytimg.com/vi/VYT-ip21P08/hqdefault.jpg,"Over the past year, Rob Hallam has been furiously building in public on X/Twitter. He posts every day and has grown his app to over $10K/month. In this video, Rob breaks down his build in public playbook and how anyone can use the power of the internet to build their own successful saas.  

Grab the Personal Brand Playbook → https://build.starterstory.com/build/playbook-personal-brand?utm_source=youtube\u0026utm_campaign=rob-build-playbook

Build an app with AI → https://build.starterstory.com/?utm_source=youtube\u0026utm_campaign=robhallam

Follow Rob: https://x.com/robj3d3
Check out SuperX: https://superx.so/

🔔 Follow the Second Channel: @StarterStoryBuild  
🏁 We're hiring: starterstory.com/jobs

Chapters:
0:00 - Intro
1:19 - Who is Rob Hallam
2:00 - Overview of the app
2:30 - App analytics
3:33 - Rob’s background
4:34 - Breakthrough story
6:19 - How building in public changed Rob’s life
9:08 - The Build in Public Playbook (free download)
10:16 - Step-by-Step process for building an audience
15:49 - How SuperX works
17:16 - Tech stack
18:17 - Final advice
19:04 - Pat’s notes and reflections

This video is an educational case study of this founder’s experience. It is not financial advice and does not guarantee any income or results. Every business is different and your results may vary.",https://www.youtube.com/watch?v=VYT-ip21P08
